Categoria: Tutte le categorie

Mese,Crisi climatica: (Tutto il mondo)
2017-01,2
2017-02,4
2017-03,3
2017-04,3
2017-05,3
2017-06,3
2017-07,1
2017-08,3
2017-09,2
2017-10,2
2017-11,3
2017-12,1
2018-01,2
2018-02,3
2018-03,2
2018-04,3
2018-05,3
2018-06,2
2018-07,1
2018-08,2
2018-09,2
2018-10,3
2018-11,4
2018-12,4
2019-01,5
2019-02,4
2019-03,7
2019-04,6
2019-05,15
2019-06,18
2019-07,18
2019-08,20
2019-09,53
2019-10,34
2019-11,32
2019-12,29
2020-01,32
2020-02,24
2020-03,21
2020-04,17
2020-05,16
2020-06,12
2020-07,11
2020-08,12
2020-09,21
2020-10,17
2020-11,16
2020-12,13
2021-01,17
2021-02,18
2021-03,17
2021-04,23
2021-05,17
2021-06,17
2021-07,25
2021-08,34
2021-09,33
2021-10,30
2021-11,38
2021-12,26
2022-01,79
2022-02,100
2022-03,90
2022-04,59
2022-05,53
2022-06,44
2022-07,44
2022-08,48
2022-09,54
2022-10,53
2022-11,66
2022-12,40
2023-01,52
2023-02,44
2023-03,52
2023-04,48
2023-05,51
2023-06,50
2023-07,53
2023-08,49
2023-09,48
