Categoria: Tutte le categorie

Mese,Greta Thunberg: (Tutto il mondo)
2017-01,< 1
2017-02,< 1
2017-03,< 1
2017-04,< 1
2017-05,< 1
2017-06,< 1
2017-07,< 1
2017-08,< 1
2017-09,< 1
2017-10,< 1
2017-11,< 1
2017-12,< 1
2018-01,< 1
2018-02,< 1
2018-03,< 1
2018-04,< 1
2018-05,< 1
2018-06,< 1
2018-07,< 1
2018-08,< 1
2018-09,< 1
2018-10,< 1
2018-11,< 1
2018-12,2
2019-01,3
2019-02,4
2019-03,14
2019-04,11
2019-05,8
2019-06,7
2019-07,8
2019-08,21
2019-09,100
2019-10,42
2019-11,25
2019-12,60
2020-01,29
2020-02,20
2020-03,23
2020-04,9
2020-05,9
2020-06,6
2020-07,6
2020-08,6
2020-09,5
2020-10,7
2020-11,8
2020-12,5
2021-01,9
2021-02,13
2021-03,6
2021-04,9
2021-05,7
2021-06,5
2021-07,4
2021-08,6
2021-09,7
2021-10,9
2021-11,13
2021-12,4
2022-01,5
2022-02,5
2022-03,5
2022-04,4
2022-05,4
2022-06,4
2022-07,4
2022-08,4
2022-09,4
2022-10,6
2022-11,7
2022-12,19
2023-01,24
2023-02,7
2023-03,7
2023-04,5
2023-05,4
2023-06,6
2023-07,8
2023-08,4
2023-09,3
